'Elapsed time','ii'
'0:08.214',-0.220
'0:08.215',-0.220
'0:08.216',-0.234
'0:08.217',-0.233
'0:08.218',-0.229
'0:08.219',-0.236
'0:08.220',-0.242
'0:08.221',-0.239
'0:08.222',-0.237
'0:08.223',-0.240
'0:08.224',-0.253
'0:08.225',-0.261
'0:08.226',-0.253
'0:08.227',-0.247
'0:08.228',-0.244
'0:08.229',-0.239
'0:08.230',-0.253
'0:08.231',-0.264
'0:08.232',-0.239
'0:08.233',-0.261
'0:08.234',-0.292
'0:08.235',-0.280
'0:08.236',-0.276
'0:08.237',-0.256
'0:08.238',-0.237
'0:08.239',-0.242
'0:08.240',-0.286
'0:08.241',-0.305
'0:08.242',-0.291
'0:08.243',-0.281
'0:08.244',-0.254
'0:08.245',-0.265
'0:08.246',-0.293
'0:08.247',-0.291
'0:08.248',-0.287
'0:08.249',-0.289
'0:08.250',-0.291
'0:08.251',-0.300
'0:08.252',-0.297
'0:08.253',-0.293
'0:08.254',-0.290
'0:08.255',-0.292
'0:08.256',-0.298
'0:08.257',-0.300
'0:08.258',-0.307
'0:08.259',-0.306
'0:08.260',-0.308
'0:08.261',-0.311
'0:08.262',-0.310
'0:08.263',-0.304
'0:08.264',-0.303
'0:08.265',-0.304
'0:08.266',-0.299
'0:08.267',-0.295
'0:08.268',-0.296
'0:08.269',-0.291
'0:08.270',-0.296
'0:08.271',-0.303
'0:08.272',-0.298
'0:08.273',-0.300
'0:08.274',-0.297
'0:08.275',-0.290
'0:08.276',-0.284
'0:08.277',-0.294
'0:08.278',-0.297
'0:08.279',-0.290
'0:08.280',-0.299
'0:08.281',-0.291
'0:08.282',-0.292
'0:08.283',-0.295
'0:08.284',-0.285
'0:08.285',-0.288
'0:08.286',-0.272
'0:08.287',-0.253
'0:08.288',-0.261
'0:08.289',-0.262
'0:08.290',-0.259
'0:08.291',-0.266
'0:08.292',-0.265
'0:08.293',-0.245
'0:08.294',-0.240
'0:08.295',-0.252
'0:08.296',-0.255
'0:08.297',-0.255
'0:08.298',-0.243
'0:08.299',-0.238
'0:08.300',-0.239
'0:08.301',-0.235
'0:08.302',-0.231
'0:08.303',-0.225
'0:08.304',-0.226
'0:08.305',-0.222
'0:08.306',-0.218
'0:08.307',-0.218
'0:08.308',-0.214
'0:08.309',-0.210
'0:08.310',-0.205
'0:08.311',-0.203
'0:08.312',-0.219
'0:08.313',-0.226
'0:08.314',-0.216
'0:08.315',-0.214
'0:08.316',-0.216
'0:08.317',-0.214
'0:08.318',-0.216
'0:08.319',-0.216
'0:08.320',-0.217
'0:08.321',-0.211
'0:08.322',-0.212
'0:08.323',-0.208
'0:08.324',-0.206
'0:08.325',-0.203
'0:08.326',-0.179
'0:08.327',-0.192
'0:08.328',-0.214
'0:08.329',-0.212
'0:08.330',-0.205
'0:08.331',-0.203
'0:08.332',-0.208
'0:08.333',-0.207
'0:08.334',-0.202
'0:08.335',-0.198
'0:08.336',-0.183
'0:08.337',-0.182
'0:08.338',-0.189
'0:08.339',-0.201
'0:08.340',-0.207
'0:08.341',-0.207
'0:08.342',-0.192
'0:08.343',-0.166
'0:08.344',-0.177
'0:08.345',-0.151
'0:08.346',-0.179
'0:08.347',-0.223
'0:08.348',-0.202
'0:08.349',-0.211
'0:08.350',-0.207
'0:08.351',-0.196
'0:08.352',-0.175
'0:08.353',-0.169
'0:08.354',-0.190
'0:08.355',-0.194
'0:08.356',-0.188
'0:08.357',-0.181
'0:08.358',-0.180
'0:08.359',-0.179
'0:08.360',-0.174
'0:08.361',-0.168
'0:08.362',-0.162
'0:08.363',-0.161
'0:08.364',-0.160
'0:08.365',-0.158
'0:08.366',-0.158
'0:08.367',-0.158
'0:08.368',-0.157
'0:08.369',-0.158
'0:08.370',-0.154
'0:08.371',-0.151
'0:08.372',-0.158
'0:08.373',-0.162
'0:08.374',-0.159
'0:08.375',-0.159
'0:08.376',-0.159
'0:08.377',-0.161
'0:08.378',-0.160
'0:08.379',-0.160
'0:08.380',-0.161
'0:08.381',-0.152
'0:08.382',-0.154
'0:08.383',-0.156
'0:08.384',-0.154
'0:08.385',-0.152
'0:08.386',-0.147
'0:08.387',-0.149
'0:08.388',-0.150
'0:08.389',-0.150
'0:08.390',-0.151
'0:08.391',-0.149
'0:08.392',-0.152
'0:08.393',-0.155
'0:08.394',-0.155
'0:08.395',-0.155
'0:08.396',-0.154
'0:08.397',-0.148
'0:08.398',-0.145
'0:08.399',-0.150
'0:08.400',-0.154
'0:08.401',-0.160
'0:08.402',-0.151
'0:08.403',-0.142
'0:08.404',-0.141
'0:08.405',-0.133
'0:08.406',-0.130
'0:08.407',-0.133
'0:08.408',-0.142
'0:08.409',-0.139
'0:08.410',-0.135
'0:08.411',-0.128
'0:08.412',-0.127
'0:08.413',-0.155
'0:08.414',-0.150
'0:08.415',-0.136
'0:08.416',-0.124
'0:08.417',-0.135
'0:08.418',-0.136
'0:08.419',-0.093
'0:08.420',-0.104
'0:08.421',-0.111
'0:08.422',-0.123
'0:08.423',-0.160
'0:08.424',-0.137
'0:08.425',-0.133
'0:08.426',-0.140
'0:08.427',-0.132
'0:08.428',-0.149
'0:08.429',-0.136
'0:08.430',-0.124
'0:08.431',-0.132
'0:08.432',-0.130
'0:08.433',-0.131
'0:08.434',-0.125
'0:08.435',-0.119
'0:08.436',-0.120
'0:08.437',-0.123
'0:08.438',-0.122
'0:08.439',-0.123
'0:08.440',-0.125
'0:08.441',-0.120
'0:08.442',-0.112
'0:08.443',-0.102
'0:08.444',-0.101
'0:08.445',-0.104
'0:08.446',-0.105
'0:08.447',-0.105
'0:08.448',-0.108
'0:08.449',-0.103
'0:08.450',-0.097
'0:08.451',-0.099
'0:08.452',-0.099
'0:08.453',-0.105
'0:08.454',-0.102
'0:08.455',-0.099
'0:08.456',-0.100
'0:08.457',-0.101
'0:08.458',-0.102
'0:08.459',-0.097
'0:08.460',-0.093
'0:08.461',-0.083
'0:08.462',-0.082
'0:08.463',-0.093
'0:08.464',-0.096
'0:08.465',-0.100
'0:08.466',-0.095
'0:08.467',-0.066
'0:08.468',-0.058
'0:08.469',-0.081
'0:08.470',-0.084
'0:08.471',-0.088
'0:08.472',-0.098
'0:08.473',-0.091
'0:08.474',-0.088
'0:08.475',-0.086
'0:08.476',-0.089
'0:08.477',-0.082
'0:08.478',-0.075
'0:08.479',-0.089
'0:08.480',-0.095
'0:08.481',-0.088
'0:08.482',-0.084
'0:08.483',-0.078
'0:08.484',-0.078
'0:08.485',-0.078
'0:08.486',-0.076
'0:08.487',-0.074
'0:08.488',-0.074
'0:08.489',-0.077
'0:08.490',-0.074
'0:08.491',-0.073
'0:08.492',-0.075
'0:08.493',-0.076
'0:08.494',-0.079
'0:08.495',-0.078
'0:08.496',-0.082
'0:08.497',-0.082
'0:08.498',-0.072
'0:08.499',-0.071
'0:08.500',-0.069
'0:08.501',-0.070
'0:08.502',-0.072
'0:08.503',-0.055
'0:08.504',-0.050
'0:08.505',-0.055
'0:08.506',-0.071
'0:08.507',-0.066
'0:08.508',-0.048
'0:08.509',-0.053
'0:08.510',-0.054
'0:08.511',-0.050
'0:08.512',-0.014
'0:08.513',-0.007
'0:08.514',-0.078
'0:08.515',-0.118
'0:08.516',-0.074
'0:08.517',-0.041
'0:08.518',-0.053
'0:08.519',-0.069
'0:08.520',-0.069
'0:08.521',-0.056
'0:08.522',-0.040
'0:08.523',-0.037
'0:08.524',-0.046
'0:08.525',-0.053
'0:08.526',-0.060
'0:08.527',-0.053
'0:08.528',-0.049
'0:08.529',-0.045
'0:08.530',-0.041
'0:08.531',-0.031
'0:08.532',-0.024
'0:08.533',-0.025
'0:08.534',-0.019
'0:08.535',-0.020
'0:08.536',-0.023
'0:08.537',-0.029
'0:08.538',-0.019
'0:08.539',-0.008
'0:08.540',-0.006
'0:08.541',-0.001
'0:08.542',0.002
'0:08.543',0.009
'0:08.544',0.013
'0:08.545',0.019
'0:08.546',0.025
'0:08.547',0.029
'0:08.548',0.033
'0:08.549',0.035
'0:08.550',0.035
'0:08.551',0.035
'0:08.552',0.034
'0:08.553',0.029
'0:08.554',0.036
'0:08.555',0.043
'0:08.556',0.043
'0:08.557',0.066
'0:08.558',0.068
'0:08.559',0.038
'0:08.560',0.034
'0:08.561',0.046
'0:08.562',0.056
'0:08.563',0.058
'0:08.564',0.060
'0:08.565',0.059
'0:08.566',0.059
'0:08.567',0.065
'0:08.568',0.063
'0:08.569',0.059
'0:08.570',0.058
'0:08.571',0.054
'0:08.572',0.064
'0:08.573',0.069
'0:08.574',0.063
'0:08.575',0.058
'0:08.576',0.061
'0:08.577',0.079
'0:08.578',0.069
'0:08.579',0.064
'0:08.580',0.075
'0:08.581',0.078
'0:08.582',0.081
'0:08.583',0.076
'0:08.584',0.074
'0:08.585',0.057
'0:08.586',0.041
'0:08.587',0.049
'0:08.588',0.056
'0:08.589',0.056
'0:08.590',0.051
'0:08.591',0.046
'0:08.592',0.055
'0:08.593',0.053
'0:08.594',0.046
'0:08.595',0.054
'0:08.596',0.053
'0:08.597',0.053
'0:08.598',0.052
'0:08.599',0.048
'0:08.600',0.052
'0:08.601',0.048
'0:08.602',0.046
'0:08.603',0.049
'0:08.604',0.050
'0:08.605',0.051
'0:08.606',0.043
'0:08.607',0.046
'0:08.608',0.046
'0:08.609',0.037
'0:08.610',0.032
'0:08.611',0.027
'0:08.612',0.021
'0:08.613',0.011
'0:08.614',0.006
'0:08.615',0.000
'0:08.616',-0.015
'0:08.617',-0.026
'0:08.618',-0.030
'0:08.619',-0.043
'0:08.620',-0.051
'0:08.621',-0.053
'0:08.622',-0.044
'0:08.623',-0.050
'0:08.624',-0.045
'0:08.625',-0.040
'0:08.626',-0.062
'0:08.627',-0.058
'0:08.628',-0.055
'0:08.629',-0.060
'0:08.630',-0.066
'0:08.631',-0.078
'0:08.632',-0.081
'0:08.633',-0.086
'0:08.634',-0.078
'0:08.635',-0.075
'0:08.636',-0.083
'0:08.637',-0.083
'0:08.638',-0.085
'0:08.639',-0.071
'0:08.640',-0.085
'0:08.641',-0.102
'0:08.642',-0.097
'0:08.643',-0.093
'0:08.644',-0.088
'0:08.645',-0.085
'0:08.646',-0.082
'0:08.647',-0.083
'0:08.648',-0.080
'0:08.649',-0.083
'0:08.650',-0.086
'0:08.651',-0.077
'0:08.652',-0.080
'0:08.653',-0.083
'0:08.654',-0.075
'0:08.655',-0.075
'0:08.656',-0.089
'0:08.657',-0.085
'0:08.658',-0.071
'0:08.659',-0.083
'0:08.660',-0.101
'0:08.661',-0.092
'0:08.662',-0.073
'0:08.663',-0.067
'0:08.664',-0.081
'0:08.665',-0.092
'0:08.666',-0.087
'0:08.667',-0.085
'0:08.668',-0.079
'0:08.669',-0.073
'0:08.670',-0.074
'0:08.671',-0.084
'0:08.672',-0.096
'0:08.673',-0.088
'0:08.674',-0.073
'0:08.675',-0.062
'0:08.676',-0.073
'0:08.677',-0.081
'0:08.678',-0.081
'0:08.679',-0.108
'0:08.680',-0.115
'0:08.681',-0.106
'0:08.682',-0.101
'0:08.683',-0.087
'0:08.684',-0.089
'0:08.685',-0.093
'0:08.686',-0.097
'0:08.687',-0.100
'0:08.688',-0.120
'0:08.689',-0.143
'0:08.690',-0.153
'0:08.691',-0.168
'0:08.692',-0.185
'0:08.693',-0.212
'0:08.694',-0.233
'0:08.695',-0.258
'0:08.696',-0.259
'0:08.697',-0.259
'0:08.698',-0.293
'0:08.699',-0.314
'0:08.700',-0.320
'0:08.701',-0.326
'0:08.702',-0.334
'0:08.703',-0.335
'0:08.704',-0.338
'0:08.705',-0.351
'0:08.706',-0.348
'0:08.707',-0.347
'0:08.708',-0.347
'0:08.709',-0.340
'0:08.710',-0.348
'0:08.711',-0.332
'0:08.712',-0.342
'0:08.713',-0.349
'0:08.714',-0.319
'0:08.715',-0.307
'0:08.716',-0.297
'0:08.717',-0.288
'0:08.718',-0.266
'0:08.719',-0.258
'0:08.720',-0.253
'0:08.721',-0.231
'0:08.722',-0.211
'0:08.723',-0.188
'0:08.724',-0.167
'0:08.725',-0.141
'0:08.726',-0.127
'0:08.727',-0.113
'0:08.728',-0.117
'0:08.729',-0.132
'0:08.730',-0.123
'0:08.731',-0.142
'0:08.732',-0.162
'0:08.733',-0.196
'0:08.734',-0.248
'0:08.735',-0.275
'0:08.736',-0.305
'0:08.737',-0.331
'0:08.738',-0.353
'0:08.739',-0.371
'0:08.740',-0.388
'0:08.741',-0.418
'0:08.742',-0.440
'0:08.743',-0.486
'0:08.744',-0.537
'0:08.745',-0.538
'0:08.746',-0.526
'0:08.747',-0.536
'0:08.748',-0.550
'0:08.749',-0.546
'0:08.750',-0.533
'0:08.751',-0.506
'0:08.752',-0.480
'0:08.753',-0.482
'0:08.754',-0.473
'0:08.755',-0.455
'0:08.756',-0.469
'0:08.757',-0.461
'0:08.758',-0.429
'0:08.759',-0.414
'0:08.760',-0.371
'0:08.761',-0.350
'0:08.762',-0.372
'0:08.763',-0.382
'0:08.764',-0.381
'0:08.765',-0.369
'0:08.766',-0.369
'0:08.767',-0.373
'0:08.768',-0.366
'0:08.769',-0.364
'0:08.770',-0.352
'0:08.771',-0.335
'0:08.772',-0.321
'0:08.773',-0.308
'0:08.774',-0.303
'0:08.775',-0.293
'0:08.776',-0.299
'0:08.777',-0.321
'0:08.778',-0.312
'0:08.779',-0.298
'0:08.780',-0.291
'0:08.781',-0.286
'0:08.782',-0.285
'0:08.783',-0.287
'0:08.784',-0.288
'0:08.785',-0.291
'0:08.786',-0.298
'0:08.787',-0.297
'0:08.788',-0.296
'0:08.789',-0.290
'0:08.790',-0.282
'0:08.791',-0.274
'0:08.792',-0.257
'0:08.793',-0.234
'0:08.794',-0.218
'0:08.795',-0.219
'0:08.796',-0.203
'0:08.797',-0.212
'0:08.798',-0.223
'0:08.799',-0.190
'0:08.800',-0.169
'0:08.801',-0.139
'0:08.802',-0.116
'0:08.803',-0.110
'0:08.804',-0.099
'0:08.805',-0.090
'0:08.806',-0.086
'0:08.807',-0.070
'0:08.808',-0.041
'0:08.809',-0.041
'0:08.810',-0.045
'0:08.811',-0.046
'0:08.812',-0.049
'0:08.813',-0.043
'0:08.814',-0.040
'0:08.815',-0.033
'0:08.816',-0.040
'0:08.817',-0.044
'0:08.818',-0.042
'0:08.819',-0.045
'0:08.820',-0.038
'0:08.821',-0.033
'0:08.822',-0.029
'0:08.823',-0.025
'0:08.824',-0.025
'0:08.825',-0.026
'0:08.826',-0.025
'0:08.827',-0.026
'0:08.828',-0.028
'0:08.829',-0.022
'0:08.830',-0.021
'0:08.831',-0.024
'0:08.832',-0.028
'0:08.833',-0.029
'0:08.834',-0.029
'0:08.835',-0.029
'0:08.836',-0.032
'0:08.837',-0.029
'0:08.838',-0.026
'0:08.839',-0.032
'0:08.840',-0.029
'0:08.841',-0.026
'0:08.842',-0.029
'0:08.843',-0.026
'0:08.844',-0.004
'0:08.845',-0.004
'0:08.846',-0.028
'0:08.847',-0.027
'0:08.848',-0.017
'0:08.849',-0.009
'0:08.850',-0.019
'0:08.851',-0.024
'0:08.852',-0.022
'0:08.853',-0.025
'0:08.854',-0.025
'0:08.855',-0.030
'0:08.856',-0.025
'0:08.857',-0.029
'0:08.858',-0.046
'0:08.859',-0.044
'0:08.860',-0.037
'0:08.861',-0.018
'0:08.862',-0.022
'0:08.863',-0.029
'0:08.864',0.001
'0:08.865',-0.009
'0:08.866',-0.042
'0:08.867',-0.043
'0:08.868',-0.035
'0:08.869',-0.035
'0:08.870',-0.048
'0:08.871',-0.068
'0:08.872',-0.067
'0:08.873',-0.042
'0:08.874',-0.030
'0:08.875',-0.040
'0:08.876',-0.047
'0:08.877',-0.034
'0:08.878',-0.033
'0:08.879',-0.051
'0:08.880',-0.052
'0:08.881',-0.044
'0:08.882',-0.035
'0:08.883',-0.034
'0:08.884',-0.035
'0:08.885',-0.032
'0:08.886',-0.032
'0:08.887',-0.030
'0:08.888',-0.029
'0:08.889',-0.030
'0:08.890',-0.031
'0:08.891',-0.036
'0:08.892',-0.036
'0:08.893',-0.044
'0:08.894',-0.035
'0:08.895',-0.043
'0:08.896',-0.068
'0:08.897',-0.059
'0:08.898',-0.059
'0:08.899',-0.061
'0:08.900',-0.062
'0:08.901',-0.060
'0:08.902',-0.059
'0:08.903',-0.063
'0:08.904',-0.064
'0:08.905',-0.068
'0:08.906',-0.068
'0:08.907',-0.072
'0:08.908',-0.076
'0:08.909',-0.071
'0:08.910',-0.075
'0:08.911',-0.079
'0:08.912',-0.080
'0:08.913',-0.082
'0:08.914',-0.092
'0:08.915',-0.103
'0:08.916',-0.103
'0:08.917',-0.103
'0:08.918',-0.110
'0:08.919',-0.113
'0:08.920',-0.114
'0:08.921',-0.112
'0:08.922',-0.110
'0:08.923',-0.110
'0:08.924',-0.112
'0:08.925',-0.115
'0:08.926',-0.114
'0:08.927',-0.115
'0:08.928',-0.113
'0:08.929',-0.114
'0:08.930',-0.137
'0:08.931',-0.146
'0:08.932',-0.126
'0:08.933',-0.131
'0:08.934',-0.146
'0:08.935',-0.152
'0:08.936',-0.152
'0:08.937',-0.152
'0:08.938',-0.153
'0:08.939',-0.149
'0:08.940',-0.150
'0:08.941',-0.143
'0:08.942',-0.152
'0:08.943',-0.185
'0:08.944',-0.189
'0:08.945',-0.197
'0:08.946',-0.208
'0:08.947',-0.197
'0:08.948',-0.190
'0:08.949',-0.184
'0:08.950',-0.185
'0:08.951',-0.184
'0:08.952',-0.183
'0:08.953',-0.207
'0:08.954',-0.224
'0:08.955',-0.234
'0:08.956',-0.227
'0:08.957',-0.211
'0:08.958',-0.229
'0:08.959',-0.233
'0:08.960',-0.233
'0:08.961',-0.221
'0:08.962',-0.222
'0:08.963',-0.230
'0:08.964',-0.227
'0:08.965',-0.241
'0:08.966',-0.237
'0:08.967',-0.239
'0:08.968',-0.245
'0:08.969',-0.247
'0:08.970',-0.246
'0:08.971',-0.246
'0:08.972',-0.254
'0:08.973',-0.256
'0:08.974',-0.263
'0:08.975',-0.270
'0:08.976',-0.279
'0:08.977',-0.279
'0:08.978',-0.284
'0:08.979',-0.278
'0:08.980',-0.273
'0:08.981',-0.284
'0:08.982',-0.261
'0:08.983',-0.263
'0:08.984',-0.291
'0:08.985',-0.294
'0:08.986',-0.296
'0:08.987',-0.304
'0:08.988',-0.300
'0:08.989',-0.287
'0:08.990',-0.275
'0:08.991',-0.279
'0:08.992',-0.297
'0:08.993',-0.293
'0:08.994',-0.286
'0:08.995',-0.296
'0:08.996',-0.301
'0:08.997',-0.297
'0:08.998',-0.301
'0:08.999',-0.304
'0:09.000',-0.302
'0:09.001',-0.304
'0:09.002',-0.298
'0:09.003',-0.274
'0:09.004',-0.273
'0:09.005',-0.311
'0:09.006',-0.315
'0:09.007',-0.295
'0:09.008',-0.303
'0:09.009',-0.308
'0:09.010',-0.302
'0:09.011',-0.300
'0:09.012',-0.306
'0:09.013',-0.305
'0:09.014',-0.300
'0:09.015',-0.302
'0:09.016',-0.306
'0:09.017',-0.307
'0:09.018',-0.303
'0:09.019',-0.304
'0:09.020',-0.298
'0:09.021',-0.289
'0:09.022',-0.284
'0:09.023',-0.284
'0:09.024',-0.296
'0:09.025',-0.296
'0:09.026',-0.287
'0:09.027',-0.278
'0:09.028',-0.273
'0:09.029',-0.280
'0:09.030',-0.279
'0:09.031',-0.272
'0:09.032',-0.263
'0:09.033',-0.268
'0:09.034',-0.263
'0:09.035',-0.250
'0:09.036',-0.261
'0:09.037',-0.267
'0:09.038',-0.276
'0:09.039',-0.278
'0:09.040',-0.267
'0:09.041',-0.243
'0:09.042',-0.242
'0:09.043',-0.266
'0:09.044',-0.264
'0:09.045',-0.264
'0:09.046',-0.258
'0:09.047',-0.249
'0:09.048',-0.249
'0:09.049',-0.242
'0:09.050',-0.240
'0:09.051',-0.239
'0:09.052',-0.236
'0:09.053',-0.234
'0:09.054',-0.234
'0:09.055',-0.238
'0:09.056',-0.237
'0:09.057',-0.233
'0:09.058',-0.235
'0:09.059',-0.239
'0:09.060',-0.234
'0:09.061',-0.232
'0:09.062',-0.227
'0:09.063',-0.227
'0:09.064',-0.220
'0:09.065',-0.210
'0:09.066',-0.203
'0:09.067',-0.202
'0:09.068',-0.221
'0:09.069',-0.206
'0:09.070',-0.197
'0:09.071',-0.202
'0:09.072',-0.196
'0:09.073',-0.196
'0:09.074',-0.193
'0:09.075',-0.193
'0:09.076',-0.194
'0:09.077',-0.184
'0:09.078',-0.182
'0:09.079',-0.179
'0:09.080',-0.172
'0:09.081',-0.169
'0:09.082',-0.152
'0:09.083',-0.174
'0:09.084',-0.188
'0:09.085',-0.174
'0:09.086',-0.165
'0:09.087',-0.148
'0:09.088',-0.152
'0:09.089',-0.161
'0:09.090',-0.166
'0:09.091',-0.159
'0:09.092',-0.144
'0:09.093',-0.142
'0:09.094',-0.164
'0:09.095',-0.171
'0:09.096',-0.161
'0:09.097',-0.158
'0:09.098',-0.160
'0:09.099',-0.164
'0:09.100',-0.161
'0:09.101',-0.152
'0:09.102',-0.145
'0:09.103',-0.150
'0:09.104',-0.139
'0:09.105',-0.139
'0:09.106',-0.154
'0:09.107',-0.148
'0:09.108',-0.143
'0:09.109',-0.139
'0:09.110',-0.142
'0:09.111',-0.143
'0:09.112',-0.131
'0:09.113',-0.145
'0:09.114',-0.158
'0:09.115',-0.146
'0:09.116',-0.132
'0:09.117',-0.130
'0:09.118',-0.137
'0:09.119',-0.115
'0:09.120',-0.122
'0:09.121',-0.148
'0:09.122',-0.145
'0:09.123',-0.142
'0:09.124',-0.131
'0:09.125',-0.124
'0:09.126',-0.126
'0:09.127',-0.125
'0:09.128',-0.121
'0:09.129',-0.117
'0:09.130',-0.115
'0:09.131',-0.115
'0:09.132',-0.130
'0:09.133',-0.135
'0:09.134',-0.129
'0:09.135',-0.123
'0:09.136',-0.119
'0:09.137',-0.130
'0:09.138',-0.129
'0:09.139',-0.116
'0:09.140',-0.118
'0:09.141',-0.120
'0:09.142',-0.114
'0:09.143',-0.127
'0:09.144',-0.122
'0:09.145',-0.105
'0:09.146',-0.113
'0:09.147',-0.112
'0:09.148',-0.105
'0:09.149',-0.101
'0:09.150',-0.103
'0:09.151',-0.104
'0:09.152',-0.105
'0:09.153',-0.112
'0:09.154',-0.111
'0:09.155',-0.107
'0:09.156',-0.105
'0:09.157',-0.101
'0:09.158',-0.104
'0:09.159',-0.108
'0:09.160',-0.108
'0:09.161',-0.114
'0:09.162',-0.113
'0:09.163',-0.112
'0:09.164',-0.112
'0:09.165',-0.108
'0:09.166',-0.108
'0:09.167',-0.110
'0:09.168',-0.113
'0:09.169',-0.102
'0:09.170',-0.089
'0:09.171',-0.098
'0:09.172',-0.102
'0:09.173',-0.095
'0:09.174',-0.087
'0:09.175',-0.089
'0:09.176',-0.087
'0:09.177',-0.085
'0:09.178',-0.086
'0:09.179',-0.091
'0:09.180',-0.082
'0:09.181',-0.071
'0:09.182',-0.090
'0:09.183',-0.086
'0:09.184',-0.090
'0:09.185',-0.080
'0:09.186',-0.064
'0:09.187',-0.087
'0:09.188',-0.056
'0:09.189',-0.032
'0:09.190',-0.068
'0:09.191',-0.083
'0:09.192',-0.077
'0:09.193',-0.087
'0:09.194',-0.099
'0:09.195',-0.088
'0:09.196',-0.082
'0:09.197',-0.089
'0:09.198',-0.091
'0:09.199',-0.083
'0:09.200',-0.074
'0:09.201',-0.084
'0:09.202',-0.077
'0:09.203',-0.063
'0:09.204',-0.068
'0:09.205',-0.075
'0:09.206',-0.083
'0:09.207',-0.079
'0:09.208',-0.073
'0:09.209',-0.072
'0:09.210',-0.065
'0:09.211',-0.058
'0:09.212',-0.065
'0:09.213',-0.073
'0:09.214',-0.071
'0:09.215',-0.062
'0:09.216',-0.054
'0:09.217',-0.049
'0:09.218',-0.063
'0:09.219',-0.071
'0:09.220',-0.061
'0:09.221',-0.065
'0:09.222',-0.065
'0:09.223',-0.062
'0:09.224',-0.062
'0:09.225',-0.067
'0:09.226',-0.077
'0:09.227',-0.086
'0:09.228',-0.077
'0:09.229',-0.062
'0:09.230',-0.056
'0:09.231',-0.063
'0:09.232',-0.073
'0:09.233',-0.074
'0:09.234',-0.070
'0:09.235',-0.064
'0:09.236',-0.068
'0:09.237',-0.057
'0:09.238',-0.050
'0:09.239',-0.060
'0:09.240',-0.057
'0:09.241',-0.051
'0:09.242',-0.054
'0:09.243',-0.057
'0:09.244',-0.051
'0:09.245',-0.053
'0:09.246',-0.051
'0:09.247',-0.050
'0:09.248',-0.046
'0:09.249',-0.041
'0:09.250',-0.050
'0:09.251',-0.044
'0:09.252',-0.043
'0:09.253',-0.044
'0:09.254',-0.034
'0:09.255',-0.033
'0:09.256',-0.033
'0:09.257',-0.032
'0:09.258',-0.029
'0:09.259',-0.030
'0:09.260',-0.018
'0:09.261',-0.015
'0:09.262',-0.002
'0:09.263',0.020
'0:09.264',0.019
'0:09.265',0.011
'0:09.266',0.009
'0:09.267',0.026
'0:09.268',0.021
'0:09.269',0.034
'0:09.270',0.047
'0:09.271',0.036
'0:09.272',0.038
'0:09.273',0.043
'0:09.274',0.034
'0:09.275',0.014
'0:09.276',0.019
'0:09.277',0.033
'0:09.278',0.037
'0:09.279',0.038
'0:09.280',0.035
'0:09.281',0.046
'0:09.282',0.060
'0:09.283',0.063
'0:09.284',0.070
'0:09.285',0.059
'0:09.286',0.051
'0:09.287',0.059
'0:09.288',0.070
'0:09.289',0.074
'0:09.290',0.067
'0:09.291',0.062
'0:09.292',0.056
'0:09.293',0.066
'0:09.294',0.071
'0:09.295',0.066
'0:09.296',0.064
'0:09.297',0.067
'0:09.298',0.069
'0:09.299',0.075
'0:09.300',0.080
'0:09.301',0.074
'0:09.302',0.083
'0:09.303',0.091
'0:09.304',0.080
'0:09.305',0.066
'0:09.306',0.080
'0:09.307',0.087
'0:09.308',0.092
'0:09.309',0.085
'0:09.310',0.069
'0:09.311',0.072
'0:09.312',0.068
'0:09.313',0.067
'0:09.314',0.077
'0:09.315',0.084
'0:09.316',0.097
'0:09.317',0.105
'0:09.318',0.085
'0:09.319',0.072
'0:09.320',0.060
'0:09.321',0.061
'0:09.322',0.065
'0:09.323',0.068
'0:09.324',0.086
'0:09.325',0.072
'0:09.326',0.045
'0:09.327',0.027
'0:09.328',0.038
'0:09.329',0.047
'0:09.330',0.036
'0:09.331',0.035
'0:09.332',0.027
'0:09.333',0.024
'0:09.334',0.015
'0:09.335',0.006
'0:09.336',-0.002
'0:09.337',-0.005
'0:09.338',-0.011
'0:09.339',-0.024
'0:09.340',-0.030
'0:09.341',-0.026
'0:09.342',-0.028
'0:09.343',-0.044
'0:09.344',-0.049
'0:09.345',-0.048
'0:09.346',-0.047
'0:09.347',-0.049
'0:09.348',-0.043
'0:09.349',-0.035
'0:09.350',-0.043
'0:09.351',-0.054
'0:09.352',-0.052
'0:09.353',-0.051
'0:09.354',-0.053
'0:09.355',-0.057
'0:09.356',-0.056
'0:09.357',-0.032
'0:09.358',-0.053
'0:09.359',-0.072
'0:09.360',-0.058
'0:09.361',-0.073
'0:09.362',-0.069
'0:09.363',-0.071
'0:09.364',-0.086
'0:09.365',-0.079
'0:09.366',-0.074
'0:09.367',-0.071
'0:09.368',-0.063
'0:09.369',-0.066
'0:09.370',-0.068
'0:09.371',-0.055
'0:09.372',-0.055
'0:09.373',-0.057
'0:09.374',-0.058
'0:09.375',-0.080
'0:09.376',-0.080
'0:09.377',-0.066
'0:09.378',-0.061
'0:09.379',-0.066
'0:09.380',-0.077
'0:09.381',-0.077
'0:09.382',-0.076
'0:09.383',-0.070
'0:09.384',-0.067
'0:09.385',-0.060
'0:09.386',-0.056
'0:09.387',-0.070
'0:09.388',-0.069
'0:09.389',-0.063
'0:09.390',-0.066
'0:09.391',-0.043
